Species name,AphiaID,Unit,Observatory,Species importance to society,IUCN RedList Category,IUCN Criteria,IUCN Year Accessed,HELCOM RedList Category,AMBI ecological group,Environmental position
Schizoporella pungens,422363,1HERP,Crete,None,None,None,None,None,None,None
Urocaridella pulchella,390270,1HERP,Crete,None,None,None,None,None,None,None
Bugulina simplex,834016,1HERP,Crete,None,None,None,None,None,None,None
Boloceroides mcmurrichi,288925,1HERP,Crete,None,None,None,None,None,None,None
Penicillium chrysogenum,100537,1HERP,Crete,None,None,None,None,None,None,None
Oscarella tuberculata,169724,1HERP,Crete,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,1HERP,Crete, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Asterias rubens,123776,1HERP,Crete, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Protosuberites mereui,890847,1HERP,Crete,None,None,None,None,None,None,None
Anteaeolidiella lurana,730437,1HERP,Crete,None,None,None,None,None,None,None
Tachidius discipes,157725,1HERP,Crete,None,None,None,None,None,None,None
Clytia gracilis,117367,1HERP,Crete,None,None,None,None,None, very sensitive to disturbance,None
Nicolea zostericola,131508,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Parasabella aberrans,530659,1HERP,Crete,None,None,None,None,None,None,None
Balanus trigonus,106223,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Amphiura filiformis,125080,1HERP,Crete, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Herdmania momus,103830,1HERP,Crete,None,None,None,None,None,None,None
Haslea pseudostrearia,495535,1HERP,Crete,None,None,None,None,None,None,None
Juxtacribrilina mutabilis,1059484,1HERP,Crete,None,None,None,None,None,None,None
Ostrea neostentina,1371803,1HERP,Crete,None,None,None,None,None,None,None
Bugulina stolonifera,834018,1HERP,Crete,None,None,None,None,None,None,None
Dendostrea sandvichensis,506713,1HERP,Crete,None,None,None,None,None,None,None
Amphiroa beauvoisii,145097,1HERP,Crete,None,None,None,None,None,None, epilithic; epiphytic
Cephalothrix fascicula,573285,1HERP,Crete,None,None,None,None,None,None,None
Gaidropsarus vulgaris,126458,1HERP,Crete, FAO-ASFIS; IUCN Red List; MSFD indicators, Least Concern,None,2014,None,None,None
Obelia longissima,117389,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Corallina ferreyrae,376886,1HERP,Crete,None,None,None,None,None,None, epilithic
Balanus balanus,106213,1HERP,Crete, FAO-ASFIS,None,None,None,None,None,None
Dinophilus vorticoides,130002,1HERP,Crete,None,None,None,None,None,None,None
Emiliania huxleyi,115104,1HERP,Crete,None,None,None,None,None,None,None
Batzella aurantiaca,168733,1HERP,Crete,None,None,None,None,None,None,None
Mimachlamys varia,236719,1HERP,Crete, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Amphibalanus amphitrite,421137,1HERP,Crete,None,None,None,None,None,None,None
Psamathe fusca,152249,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Navicula ramosissima,149643,1HERP,Crete,None,None,None,None,None,None,None
Exaiptasia diaphana,1264073,1HERP,Crete,None,None,None,None,None, tolerant to disturbance,None
Parvicardium exiguum,139008,1HERP,Crete,None,None,None,None,None, very sensitive to disturbance,None
Microcosmus curvus,250843,1HERP,Crete,None,None,None,None,None,None,None
Hymeniacidon perlevis,132663,1HERP,Crete,None,None,None,None,None,None,None
Micromonas pusilla,134564,1HERP,Crete,None,None,None,None,None,None,None
Hiatella arctica,140103,1HERP,Crete, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Campanularia hincksii,117364,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Ascidia virginea,103717,1HERP,Crete, FAO-ASFIS,None,None,None,None,None,None
Bougainvillia muscus,117328,1HERP,Crete,None,None,None,None,None, very sensitive to disturbance,None
Pomatoschistus flavescens,1526389,1HERP,Crete, FAO-ASFIS; IUCN Red List, Least Concern,None,2014,None,None,None
Monocorophium acherusicum,225814,1HERP,Crete,None,None,None,None,None, tolerant to disturbance,None
Cephalothrix simula,573293,1HERP,Crete,None,None,None,None,None,None,None
Bugula neritina,111158,1HERP,Crete,None,None,None,None,None,None,None
Philactinoposthia ischiae,879157,1HERP,Crete,None,None,None,None,None,None,None
Botryllus schlosseri,103862,1HERP,Crete, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Cryptosula pallasiana,111343,1HERP,Crete,None,None,None,None,None, indifferent to disturbance,None
Ascidiella aspersa,103718,1HERP,Crete, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Benthosema glaciale,126580,1HERP,Crete, FAO-ASFIS; IUCN Red List, Least Concern,None,2012,None,None,None
Diacarnus spinipoculum,168716,1HERP,Crete,None,None,None,None,None,None,None
Marphysa chirigota,1416609,1HERP,Crete,None,None,None,None,None,None,None
Oscarella viridis,169725,1HERP,Crete,None,None,None,None,None,None,None
Cyclops kikuchii,350508,1HERP,Crete,None,None,None,None,None,None,None
