"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV2"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV3"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV4"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV5"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV6"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV7"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Cribrilinidae"	"Cribrilina"	"Cribrilina_mutabilis"
"ASV8"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV9"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV10"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV11"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV12"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV13"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV14"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV15"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Tubulariidae"	"Ectopleura"	"Ectopleura_dumortierii"
"ASV16"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV17"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV18"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV19"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV20"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV21"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV22"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV23"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV24"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV25"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV26"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV27"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV28"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV29"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV30"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV31"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV32"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV33"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV34"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV35"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV36"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV37"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV38"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV39"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV40"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV41"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV42"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV43"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV44"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV45"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV46"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV47"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV48"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV49"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV50"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV51"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV52"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV53"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV54"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV55"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV56"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV57"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV58"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV59"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV60"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV61"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV62"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV63"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV64"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV65"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV66"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV67"	"Eukaryota"	"Arthropoda"	NA	NA	NA	NA	NA
"ASV68"	"Eukaryota"	"Arthropoda"	NA	NA	NA	NA	NA
"ASV69"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV70"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV71"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV72"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV73"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV74"	"Eukaryota"	NA	NA	NA	NA	NA	NA
