"ASV"	"Domain"	"Supergroup"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	"Aureobasidiaceae"	NA	NA
"ASV2"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetaceae"	"Kazachstania"	NA
"ASV3"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	NA	NA
"ASV4"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	"Vishniacozyma"	"Vishniacozyma_carnescens"
"ASV5"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	NA	NA
"ASV6"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Penicillium"	NA
"ASV7"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA
"ASV8"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV9"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV10"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	"Rhizophydiales"	"Halomycetaceae"	"Halomyces"	NA
"ASV11"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	"Acremonium"	"Acremonium_rutilum"
"ASV12"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV13"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	NA	NA
"ASV14"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	NA	NA
"ASV15"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV16"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV17"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV18"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV19"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV20"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV21"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	NA	NA
"ASV22"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV23"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV24"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV25"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	NA
"ASV26"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"
"ASV27"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_sphaerospermum"
"ASV28"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_sphaerospermum"
"ASV29"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	NA	NA
"ASV30"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_ramotenellum"
"ASV31"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_ramotenellum"
"ASV32"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_delicatulum"
"ASV33"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_delicatulum"
"ASV34"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV35"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_halotolerans"
"ASV36"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	NA
"ASV37"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	NA	NA
"ASV38"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_herbarum"
"ASV39"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	NA
"ASV40"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	NA
"ASV41"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Myxotrichaceae"	"Oidiodendron"	"Oidiodendron_cereale"
"ASV42"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"ASV43"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Microdochiaceae"	"Microdochium"	NA
"ASV44"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	NA	NA
"ASV45"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV46"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV47"	"Eukaryota"	"Opisthokonta"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Crambidae"	"Petrophila"	"Petrophila_incerta"
"ASV48"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Teratosphaeriaceae"	"Elasticomyces"	"Elasticomyces_elasticus"
"ASV49"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV50"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV51"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Extremaceae"	"Vermiconia"	NA
"ASV52"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV53"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Teratosphaeriaceae"	"Devriesia"	NA
"ASV54"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Teratosphaeriaceae"	NA	NA
"ASV55"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV56"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	NA	"Hortaea"	NA
"ASV57"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	NA
"ASV58"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Archaeorhizomycetes"	"Archaeorhizomycetales"	NA	NA	NA
"ASV59"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Teratosphaeriaceae"	"Neocatenulostroma"	"Neocatenulostroma_microsporum"
"ASV60"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	NA	"Hortaea"	"Hortaea_werneckii"
"ASV61"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV62"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV63"	"Eukaryota"	"SAR"	"Rhizaria"	"Cercozoa"	NA	NA	NA	NA	NA
"ASV64"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	NA	NA
"ASV65"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	NA	NA	NA
"ASV66"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Humicola"	"Humicola_nigrescens"
"ASV67"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_acropullum"
"ASV68"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV69"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV70"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Scedosporium"	NA
"ASV71"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	NA	NA
"ASV72"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Pseudallescheria"	NA
"ASV73"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Apiosporaceae"	"Arthrinium"	NA
"ASV74"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Apiosporaceae"	"Arthrinium"	NA
"ASV75"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Apiosporaceae"	NA	NA
"ASV76"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Apiosporaceae"	NA	NA
"ASV77"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV78"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	NA	NA	NA
"ASV79"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Ophiostomatales"	NA	NA	NA
"ASV80"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"Schizothecium_inaequale"
"ASV81"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	NA	NA	NA
"ASV82"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV83"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_nigricolor"
"ASV84"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV85"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	NA	NA
"ASV86"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	NA	NA
"ASV87"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	NA	NA	NA
"ASV88"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_jodhpurense"
"ASV89"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	NA	NA
"ASV90"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	NA	NA
"ASV91"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV92"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_homopilatum"
"ASV93"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	NA
"ASV94"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV95"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV96"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV97"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	"Sarocladium"	NA
"ASV98"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Microascus"	NA
"ASV99"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	NA	NA
"ASV100"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	NA	NA	NA
"ASV101"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	NA	NA	NA
"ASV102"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Pithoascus"	"Pithoascus_nidicola"
"ASV103"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Microascus"	"Microascus_croci"
"ASV104"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	NA	NA
"ASV105"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV106"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV107"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	NA
"ASV108"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Acrostalagmus"	"Acrostalagmus_luteoalbus"
"ASV109"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV110"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV111"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	NA	"Graphium"	NA
"ASV112"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	NA	"Graphium"	NA
"ASV113"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	NA	NA	NA
"ASV114"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Clavicipitaceae"	"Metarhizium"	NA
"ASV115"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV116"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV117"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV118"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	NA
