"OTU"	"Domain"	"Supergroup"	"Division/Kingdom"	"Phylum/Class"	"Level_X"	"Level_XX"	"Level_XXX"	"Level_XXXX"	"Level_XXXXX"	"Species"
"OTU1"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Raphid-pennate"	NA	NA	NA	NA	NA
"OTU2"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Phaeophyceae"	NA	NA	NA	NA	NA	NA
"OTU3"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU4"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU5"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU6"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU7"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU8"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	"Gregarina3"	NA	NA	NA
"OTU9"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	"Leidyana1"	NA	NA	NA
"OTU10"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU11"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU12"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU13"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	NA	NA	NA	NA	NA	NA
"OTU14"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Uradiphoridae"	NA	NA	NA	NA
"OTU15"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	NA	NA	NA	NA	NA	NA
"OTU16"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	NA	NA	NA	NA	NA	NA
"OTU17"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU18"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU19"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU20"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU21"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU22"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Gastropoda"	"Dendronotoidea-Arminoidea-Aeolidoidea"	"Doto"	NA	NA	NA
"OTU23"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU24"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Craniata"	"Teleostei"	"Siniperca"	NA	NA	NA	NA
"OTU25"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU26"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Craniata"	"Teleostei"	NA	NA	NA	NA	NA
"OTU27"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	NA	NA	NA	NA	NA	NA
"OTU28"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	NA	NA	NA	NA	NA	NA
"OTU29"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa-Ascetosporea"	"Haplosporida"	"Haplosporidiidae"	"Haplosporidium"	NA	NA	NA
"OTU30"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU31"	"Eukaryota"	"Excavata"	"Discoba"	"Kinetoplastea"	"Neobodonida"	"Neobodonidae"	"Neobodo"	NA	NA	NA
"OTU32"	"Eukaryota"	"Excavata"	"Discoba"	"Kinetoplastea"	NA	NA	NA	NA	NA	NA
"OTU33"	"Eukaryota"	"Excavata"	"Discoba"	"Kinetoplastea"	"Parabodonida"	"Parabodonidae"	NA	NA	NA	NA
"OTU34"	"Eukaryota"	"Excavata"	"Discoba"	"Kinetoplastea"	"Neobodonida"	"Rhynchomonadidae"	"Rhynchomonas"	NA	NA	NA
"OTU35"	"Eukaryota"	"Excavata"	"Discoba"	"Kinetoplastea"	NA	NA	NA	NA	NA	NA
"OTU36"	"Eukaryota"	"Stramenopiles"	"Opalozoa"	"Bicoecea"	NA	NA	NA	NA	NA	NA
"OTU37"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Lecudinidae"	NA	NA	NA	NA
"OTU38"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	NA	NA	NA	NA	NA	NA	NA
"OTU39"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	NA	NA	NA	NA	NA	NA	NA
"OTU40"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Mytiloida"	NA	NA	NA	NA
"OTU41"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	NA	NA	NA	NA	NA	NA
"OTU42"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Arthropoda"	"Crustacea"	"Ostracoda"	"Propontocypris"	NA	NA	NA
"OTU43"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Cnidaria"	NA	NA	NA	NA	NA	NA
"OTU44"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	NA	NA	NA	NA	NA	NA
"OTU45"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Philactinoposthia"	NA	NA	NA
"OTU46"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU47"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU48"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU49"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU50"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Convoluta"	NA	NA	NA
"OTU51"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU52"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU53"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU54"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Archaphanostoma"	"macrospiriferum"	NA	"Archaphanostoma_macrospiriferum"
"OTU55"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Philomecynostomum"	NA	NA	NA
"OTU56"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU57"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU58"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU59"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Aphanostoma"	NA	NA	NA
"OTU60"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Praeconvoluta"	"tigrina"	NA	"Praeconvoluta_tigrina"
"OTU61"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU62"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
"OTU63"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Otocelis"	NA	NA	NA
"OTU64"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU65"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
"OTU66"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Postmecynostomum"	"pictum"	NA	"Postmecynostomum_pictum"
"OTU67"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
"OTU68"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
"OTU69"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Philocelis"	NA	NA	NA
"OTU70"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU71"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU72"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU73"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	"Symsagittifera"	NA	NA	NA
"OTU74"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Acoelomorpha"	NA	NA	NA	NA
"OTU75"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
