Sample	Sequenced	Observatory	ARMS	Deployment	Retrieval	Fraction	Fraction_Group	Fraction_Exact	Preservative	Lab_Replicate	Habitat
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100	May-21	BelgiumCoast	AZBE1	20190924	20200303	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF500	Sep-20	BelgiumCoast	AZBE1	20190924	20200303	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_BelgiumCoast_AZBE1_20190924_20200303_SF40	Apr-21	BelgiumCoast	AZBE1	20190924	20200303	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH	May-21	BelgiumCoast	AZFPin	20180712	20180818	Motile	MF100	MF200	ETOH		semi-industrial
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF500_ETOH	Jul-19	BelgiumCoast	AZFPin	20180712	20180818	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_Bodo_GStraB_20190621_20201207_MF100	Jan-22	Bodo	GStraB	20190621	20201207	Motile	MF100	MF100	DMSO		protected
ARMS_Bodo_GStraB_20190621_20201207_MF500	Jan-22	Bodo	GStraB	20190621	20201207	Motile	MF500	MF500	DMSO		protected
ARMS_Bodo_GStraB_20190621_20201207_SF50_A	Jan-22	Bodo	GStraB	20190621	20201207	Sessile	SF40	SF50	DMSO		protected
ARMS_Bodo_GStraM_20190621_20201207_MF100	Jan-22	Bodo	GStraM	20190621	20201207	Motile	MF100	MF100	DMSO		protected
ARMS_Bodo_GStraM_20190621_20201207_MF500	Jan-22	Bodo	GStraM	20190621	20201207	Motile	MF500	MF500	DMSO		protected
ARMS_Bodo_GStraM_20190621_20201207_SF50_A	Jan-22	Bodo	GStraM	20190621	20201207	Sessile	SF40	SF50	DMSO		protected
ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO	Jan-22	Crete	1HERP	20180928	20190128	Motile	MF100	MF125	DMSO		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH	Jan-22	Crete	1HERP	20180928	20190128	Motile	MF100	MF125	ETOH		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO	Jul-19	Crete	1HERP	20180928	20190128	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH	Jul-19	Crete	1HERP	20180928	20190128	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH	Jul-19	Crete	1HERP	20180928	20190128	PS	PS250	PS250	ETOH		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_SED	Jul-19	Crete	1HERP	20180928	20190128	SED	SED	SED	Frozen		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_SF_DMSO	Jul-19	Crete	1HERP	20180928	20190128	Sessile	SF40	SF	DMSO		semi-industrial
ARMS_Crete_1HERP_20180928_20190128_SF_ETOH	Jul-19	Crete	1HERP	20180928	20190128	Sessile	SF40	SF	ETOH		semi-industrial
ARMS_Crete_1HERP_20190612_20191011_MF500	Apr-21	Crete	1HERP	20190612	20191011	Motile	MF500	MF500	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20191011_MF90	Apr-21	Crete	1HERP	20190612	20191011	Motile	MF100	MF90	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20191011_SF	Apr-21	Crete	1HERP	20190612	20191011	Sessile	SF40	SF	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200210_MF500	Apr-21	Crete	1HERP	20190612	20200210	Motile	MF500	MF500	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200210_MF90	Apr-21	Crete	1HERP	20190612	20200210	Motile	MF100	MF90	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200210_SF	Apr-21	Crete	1HERP	20190612	20200210	Sessile	SF40	SF	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200618_MF500	Apr-21	Crete	1HERP	20190612	20200618	Motile	MF500	MF500	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200618_MF90	Apr-21	Crete	1HERP	20190612	20200618	Motile	MF100	MF90	Frozen		semi-industrial
ARMS_Crete_1HERP_20190612_20200618_SF	Apr-21	Crete	1HERP	20190612	20200618	Sessile	SF40	SF	Frozen		semi-industrial
ARMS_Crete_2UBPC_20190924_20201211_MF500	Apr-21	Crete	2UBPC	20190924	20201211	Motile	MF500	MF500	Frozen		semi-industrial
ARMS_Crete_2UBPC_20190924_20201211_MF90	Apr-21	Crete	2UBPC	20190924	20201211	Motile	MF100	MF90	Frozen		semi-industrial
ARMS_Crete_2UBPC_20190924_20201211_SF	Apr-21	Crete	2UBPC	20190924	20201211	Sessile	SF40	SF	Frozen		semi-industrial
ARMS_Eilat_Katza1_20181024_20200706_MF100	May-21	Eilat	Katza1	20181024	20200706	Motile	MF100	MF100	DMSO		industrial
ARMS_Eilat_Katza1_20181024_20200706_MF500	May-21	Eilat	Katza1	20181024	20200706	Motile	MF500	MF500	DMSO		industrial
ARMS_Eilat_Katza1_20181024_20200706_MF500_rep	May-21	Eilat	Katza1	20181024	20200706	Motile	MF500	MF500	DMSO		industrial
ARMS_Eilat_Katza1_20181024_20200706_SF45	May-21	Eilat	Katza1	20181024	20200706	Sessile	SF40	SF45	DMSO		industrial
ARMS_Eilat_Katza2_20181024_20200803_MF100	May-21	Eilat	Katza2	20181024	20200803	Motile	MF100	MF100	DMSO		industrial
ARMS_Eilat_Katza2_20181024_20200803_MF500	May-21	Eilat	Katza2	20181024	20200803	Motile	MF500	MF500	DMSO		industrial
ARMS_Eilat_Katza2_20181024_20200803_SF45	May-21	Eilat	Katza2	20181024	20200803	Sessile	SF40	SF45	DMSO		industrial
ARMS_Eilat_NR1_20181017_20200204_MF100	May-21	Eilat	NR1	20181017	20200204	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Eilat_NR1_20181017_20200204_MF500	May-21	Eilat	NR1	20181017	20200204	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Eilat_NR1_20181017_20200204_SF45	May-21	Eilat	NR1	20181017	20200204	Sessile	SF40	SF45	DMSO		LHI (Low human influence)
ARMS_Eilat_NR2_20181017_20200524_MF100	May-21	Eilat	NR2	20181017	20200524	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Eilat_NR2_20181017_20200524_MF500	May-21	Eilat	NR2	20181017	20200524	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Eilat_NR2_20181017_20200524_SF45	May-21	Eilat	NR2	20181017	20200524	Sessile	SF40	SF45	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO	Jan-20	Gdynia	GDY1	20180813	20191029	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO	Jan-20	Gdynia	GDY1	20180813	20191029	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO	Apr-21	Gdynia	GDY1	20180813	20191029	Sessile	SF40	SF38	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_rep	Apr-21	Gdynia	GDY1	20180813	20191029	Sessile	SF40	SF38	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20190619_20191029_MF100	Jan-22	Gdynia	GDY1	20190619	20191029	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20190619_20191029_MF500	Apr-21	Gdynia	GDY1	20190619	20191029	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Gdynia_GDY1_20190619_20191029_SF38	Jan-22	Gdynia	GDY1	20190619	20191029	Sessile	SF40	SF38	DMSO		LHI (Low human influence)
ARMS_Getxo_G1_20190624_20191016_MF100	May-21	Getxo	G1	20190624	20191016	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Getxo_G1_20190624_20191016_MF500	May-21	Getxo	G1	20190624	20191016	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Getxo_G1_20190624_20191016_SF40	May-21	Getxo	G1	20190624	20191016	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Getxo_G2_20190624_20191016_MF100	Apr-21	Getxo	G2	20190624	20191016	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Getxo_G2_20190624_20191016_MF500	May-21	Getxo	G2	20190624	20191016	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Getxo_G2_20190624_20191016_SF40	May-21	Getxo	G2	20190624	20191016	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Getxo_G3_20190624_20191016_MF100	May-21	Getxo	G3	20190624	20191016	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Getxo_G3_20190624_20191016_MF500	May-21	Getxo	G3	20190624	20191016	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Getxo_G3_20190624_20191016_SF40	May-21	Getxo	G3	20190624	20191016	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_DMSO	May-21	GulfOfPiran	Fornace	20180815	20181118	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_ETOH	May-21	GulfOfPiran	Fornace	20180815	20181118	Motile	MF100	MF100	ETOH		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_DMSO	Jul-19	GulfOfPiran	Fornace	20180815	20181118	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH	Jul-19	GulfOfPiran	Fornace	20180815	20181118	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH_rep	Jul-19	GulfOfPiran	Fornace	20180815	20181118	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_DMSO	May-21	GulfOfPiran	Fornace	20180815	20181118	Sessile	SF40	SF	DMSO		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH	May-21	GulfOfPiran	Fornace	20180815	20181118	Sessile	SF40	SF	ETOH		semi-industrial
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH_rep	May-21	GulfOfPiran	Fornace	20180815	20181118	Sessile	SF40	SF	ETOH		semi-industrial
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO	Jan-20	Koster	VH1	20180418	20190527	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO	Jan-20	Koster	VH1	20180418	20190527	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO	Jan-20	Koster	VH1	20180418	20190527	Sessile	SF40	SF40	DMSO		protected
ARMS_Koster_VH1_20190527_20200716_MF100	Sep-20	Koster	VH1	20190527	20200716	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH1_20190527_20200716_MF100_rep	Sep-20	Koster	VH1	20190527	20200716	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH1_20190527_20200716_MF500	Sep-20	Koster	VH1	20190527	20200716	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH1_20190527_20200716_MF500_rep	Sep-20	Koster	VH1	20190527	20200716	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH1_20190527_20200716_SF40	Sep-20	Koster	VH1	20190527	20200716	Sessile	SF40	SF40	DMSO		protected
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH	Jul-19	Koster	VH2	20180418	20180906	Motile	MF100	MF100	ETOH		protected
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH	Jul-19	Koster	VH2	20180418	20180906	Motile	MF500	MF500	ETOH		protected
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH	Jul-19	Koster	VH2	20180418	20180906	PS	PS90	PS90	ETOH		protected
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH_rep	Jul-19	Koster	VH2	20180418	20180906	PS	PS90	PS90	ETOH		protected
ARMS_Koster_VH2_20180418_20180906_SED100_DMSO	Jul-19	Koster	VH2	20180418	20180906	SED	SED100	SED100	DMSO		protected
ARMS_Koster_VH2_20180418_20180906_SED500_DMSO	Jul-19	Koster	VH2	20180418	20180906	SED	SED500	SED500	DMSO		protected
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO	Jul-19	Koster	VH2	20180418	20180906	Sessile	SF40	SF40	DMSO		protected
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH	Jul-19	Koster	VH2	20180418	20180906	Sessile	SF40	SF40	ETOH		protected
ARMS_Koster_VH2_20190527_20200716_MF100	Sep-20	Koster	VH2	20190527	20200716	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH2_20190527_20200716_MF500	Sep-20	Koster	VH2	20190527	20200716	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH2_20190527_20200716_SF40	Sep-20	Koster	VH2	20190527	20200716	Sessile	SF40	SF40	DMSO		protected
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO	Jan-20	Koster	VH3	20180418	20190527	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO	Jan-20	Koster	VH3	20180418	20190527	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH3_20180418_20190527_SF40_DMSO	May-21	Koster	VH3	20180418	20190527	Sessile	SF40	SF40	DMSO		protected
ARMS_Koster_VH3_20190527_20200716_MF100	Sep-20	Koster	VH3	20190527	20200716	Motile	MF100	MF100	DMSO		protected
ARMS_Koster_VH3_20190527_20200716_MF500	Sep-20	Koster	VH3	20190527	20200716	Motile	MF500	MF500	DMSO		protected
ARMS_Koster_VH3_20190527_20200716_SF40	Sep-20	Koster	VH3	20190527	20200716	Sessile	SF40	SF40	DMSO		protected
ARMS_Laeso_Laeso1_20190819_20200811_MF100	Apr-21	Laeso	Laeso1	20190819	20200811	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso1_20190819_20200811_MF500	Apr-21	Laeso	Laeso1	20190819	20200811	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso1_20190819_20200811_SF40	Apr-21	Laeso	Laeso1	20190819	20200811	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso2_20190819_20200811_MF100	Apr-21	Laeso	Laeso2	20190819	20200811	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso2_20190819_20200811_MF500	May-21	Laeso	Laeso2	20190819	20200811	Motile	MF500	MF500	DMSO		LHI (Low human influence)
